ghnrs_j,z_ar025rpc
45.0,107000.0
40.0,104998.0
55.0,485000.0
48.0,369000.0
48.0,410000.0
49.0,500000.0
61.0,3700000.0
71.0,1470000.0
74.0,250000.0
57.0,220000.0
59.0,963000.0
75.0,429000.0
63.0,308000.0
57.0,3100000.0
57.0,299000.0
58.0,500000.0
62.0,149998.0
55.0,563000.0
56.0,250000.0
73.0,1810000.0
74.0,171000.0
60.0,200000.0
18.0,120000.0
75.0,10780000.0
58.0,55000.0
76.0,2347000.0
47.0,152000.0
64.0,1550000.0
49.0,800000.0
47.0,1250000.0
47.0,70500.0
53.0,810000.0
54.0,350000.0
52.0,590000.0
64.0,346000.0
41.0,149998.0
48.0,320000.0
60.0,126000.0
74.0,510000.0
44.0,2350000.0
56.0,132100.0
50.0,1230000.0
73.0,730000.0
56.0,826000.0
45.0,180000.0
36.0,25000.0
52.0,580000.0
71.0,1969998.0
41.0,90000.0
65.0,171000.0
46.0,231000.0
52.0,1300000.0
67.0,129050.0
65.0,3050000.0
65.0,399998.0
62.0,264500.0
55.0,150000.0
59.0,710000.0
62.0,5900000.0
57.0,255000.0
47.0,180000.0
55.0,250000.0
44.0,2800000.0
71.0,740000.0
62.0,390000.0
52.0,850000.0
56.0,490000.0
47.0,300000.0
52.0,275000.0
61.0,2125000.0
57.0,984000.0
53.0,180000.0
46.0,200000.0
41.0,290000.0
52.0,15000.0
54.0,208000.0
50.0,415000.0
59.0,9520000.0
80.0,174998.0
72.0,1270000.0
68.0,155000.0
59.0,840000.0
64.0,2210000.0
50.0,249998.0
29.0,260000.0
47.0,380000.0
51.0,615000.0
41.0,130000.0
63.0,1167000.0
70.0,255000.0
50.0,546000.0
78.0,1403000.0
30.0,25000.0
65.0,630000.0
70.0,355000.0
34.0,140000.0
45.0,1128000.0
74.0,785000.0
62.0,150000.0
47.0,339000.0
49.0,430000.0
56.0,530000.0
45.0,508000.0
61.0,360000.0
51.0,235500.0
73.0,3470000.0
47.0,224998.0
72.0,700000.0
65.0,97000.0
49.0,600000.0
48.0,360000.0
59.0,340000.0
54.0,275500.0
73.0,100000.0
53.0,228500.0
35.0,376000.0
64.0,734000.0
55.0,340000.0
62.0,236000.0
55.0,113000.0
69.0,375000.0
52.0,290000.0
48.0,5000.0
64.0,587000.0
61.0,449998.0
61.0,633000.0
