DATE,ISBN,Title,Weekly Sales,Weekly Average Rank
4/28/01,'0596000278,Writing Apache Modules with Perl and C: The Apache API and mod_perl (O'Reilly Nutshell),15,8078
4/28/01,'0596000588,HTTP Pocket Reference,12,8123
4/28/01,'0596000111,MCSE in a Nutshell: The Windows 2000 Exams,17,8172
4/28/01,'1565924878,"Perl 5 Pocket Reference, 3rd Edition: Programming Tools (O'Reilly Perl)",17,8174
4/28/01,'0596000464,The Unofficial Guide to LEGO MINDSTORMS Robots,13,8289
4/28/01,'0596001584,Outlook 2000 in a Nutshell: a Power User's Quick Reference,18,8312
4/28/01,'059600026X,Developing ASP Components (2nd Edition),12,8314
4/28/01,'1565927680,Oracle Sql Plus : The Definitive Guide,16,8348
4/28/01,'1565928695,Java Foundation Classes in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),15,8400
4/28/01,'1565924274,UNIX Backup and Recovery,19,8430
4/28/01,'1565922840,Writing Excel Macros,8,8519
4/28/01,'1565922573,Designing Active Server Pages,13,8617
4/28/01,'0596001045,Writing Excel Macros,12,8660
4/28/01,'0596000022,Learning Gnu Emacs,14,8760
4/28/01,'1565924940,Web Navigation: Designing the User Experience,18,8764
4/28/01,'1565926226,The Unofficial Guide to LEGO MINDSTORMS Robots,9,8772
4/28/01,'0596000103,Web Navigation: Designing the User Experience,9,8798
4/28/01,'1565926978,Lotus Domino Administration in a Nutshell : A Desktop Quick Reference,20,8857
4/28/01,'1565928717,Oracle Sql Plus : The Definitive Guide,18,8895
4/28/01,'1565922433,Oracle Essentials : Oracle8 and Oracle8I,17,8908
4/28/01,'0596000669,Writing Apache Modules with Perl and C: The Apache API and mod_perl (O'Reilly Nutshell),11,8912
4/28/01,'156592746X,Managing Nfs and Nis,13,8942
4/28/01,'059600110X,Developing ASP Components (2nd Edition),8,8950
4/28/01,'0596001223,Java Foundation Classes in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),13,8962
4/28/01,'059600009X,Writing Excel Macros,20,9027
4/28/01,'059600060X,Learning Gnu Emacs,11,9114
4/28/01,'0596000391,Computer Security Basics,12,9145
4/28/01,'0596000790,Internet Core Protocols: the Definitive Guide,17,9182
4/28/01,'1565922824,Web Navigation: Designing the User Experience,12,9331
4/28/01,'1565927524,MySQL and mSQL,14,9348
4/28/01,'0596000154,Oracle Essentials : Oracle8 and Oracle8I,12,9363
4/28/01,'0596000162,Developing ASP Components (2nd Edition),17,9372
4/28/01,'1565923359,PC Hardware in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),14,9415
4/28/01,'1565922603,Advanced Perl Programming,17,9606
4/28/01,'1565921275,The Perl Cd Bookshelf : 6 Bestselling Books on Cd-Rom,8,9647
4/28/01,'1565927133,Lotus Domino Administration in a Nutshell : A Desktop Quick Reference,36,9745
4/28/01,'1565925122,REALbasic : The Definitive Guide,12,9763
4/28/01,'0596001215,Designing Active Server Pages,12,9768
4/28/01,'1565923901,Internet Core Protocols: the Definitive Guide,14,9774
4/28/01,'1565925157,Windows 2000: Quick Fixes,9,9836
4/28/01,'1565923588,REALbasic : The Definitive Guide,11,9869
4/28/01,'1565925793,Pervasive Developmental Disorders: Finding a Diagnosis and Getting Help,12,9889
4/28/01,'156592469X,Java Foundation Classes in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),11,9907
4/28/01,'0596000685,"Perl 5 Pocket Reference, 3rd Edition: Programming Tools (O'Reilly Perl)",13,9909
4/28/01,'1565928431,Managing Nfs and Nis,11,9928
4/28/01,'0596000855,Oracle Dba Checklists Pocket Reference,62,9998
4/28/01,'1565924975,Dns on Windows Nt,34,10089
4/28/01,'1565923227,Learning Java (The Java Series),11,10150
4/28/01,'1565922255,"Oracle8i Internal Services: For Waits, Latches, Locks, and Memory",9,10207
4/28/01,'0596000367,Computer Security Basics,30,10283
4/28/01,'1565926994,Lotus Domino Administration in a Nutshell : A Desktop Quick Reference,4,10284
4/28/01,'1565927206,Oracle Design (Nutshell Handbook),1,10446
4/28/01,'1565927443,Windows 2000: Quick Fixes,14,10660
4/28/01,'1565924266,"Oracle8i Internal Services: For Waits, Latches, Locks, and Memory",11,10680
4/28/01,'1565926919,"The UNIX CD Bookshelf, 2nd Edition (w/ CD-ROM)",17,10710
4/28/01,'1565924193,MySQL and mSQL,14,10725
4/28/01,'1565922220,Java Security (Java Series (O'Reilly & Associates).),12,10743
4/28/01,'1565924495,Oracle Design (Nutshell Handbook),1,10778
4/28/01,'1565926161,MySQL and mSQL,9,10872
4/28/01,'0596000030,Learning Java (The Java Series),9,10886
4/28/01,'1565926609,PC Hardware in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),6,11013
4/28/01,'0596001487,REALbasic : The Definitive Guide,9,11034
4/28/01,'1565923545,Windows 2000: Quick Fixes,11,11080
4/28/01,'1565925211,Oracle Essentials : Oracle8 and Oracle8I,9,11166
4/28/01,'1565926382,Managing Nfs and Nis (Nutshell Handbook),7,11170
4/28/01,'0596001339,Computer Security Basics,10,11291
4/28/01,'1565928709,Oracle SQL Loader: The Definitive Guide,11,11413
4/28/01,'1565928571,Managing Imap,9,11430
4/28/01,'0937175900,HTTP Pocket Reference,13,11467
4/28/01,'1565924177,Learning Wml & Wmlscript,9,11483
4/28/01,'1565920546,Java I/O (O'Reilly Java),10,11540
4/28/01,'1565924649,PC Hardware in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),14,11681
4/28/01,'1565927060,Designing Web Audio,12,11699
4/28/01,'1565921976,Practical C Programming (Nutshell Handbook),10,11734
4/28/01,'1565926005,Java I/O (O'Reilly Java),14,11773
4/28/01,'0596000308,"The UNIX CD Bookshelf, 2nd Edition (w/ CD-ROM)",9,11777
4/28/01,'1565922921,Internet Core Protocols: the Definitive Guide,9,11792
4/28/01,'0596000197,Designing Active Server Pages,10,11794
4/28/01,'1565924827,Managing Imap,12,11918
4/28/01,'0596000251,Lex & Yacc,15,12015
4/28/01,'1565927095,Practical C Programming (Nutshell Handbook),14,12026
4/28/01,'1565923472,Crossing Platforms : A Macintosh/Windows Phrasebook,7,12074
4/28/01,'1565925289,Java I/O (O'Reilly Java),10,12087
